league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,240909,Alex Plat,FC Volendam,Right Midfielder,False,17,6,589.4,0.4581,0.0,0.0,0.3333,0.1926,espn_true_per90
eredivisie,184150,Henk Veerman,FC Volendam,Forward,False,24,20,1693.7,2.338,0.2125,0.0531,0.3182,0.5535,espn_true_per90
eredivisie,260446,Ozan Kökcü,FC Volendam,Attacking Midfielder Left,False,28,18,1575.6,1.0853,0.0571,0.1142,0.1579,0.5149,espn_true_per90
eredivisie,312109,Aurelio Oehlers,FC Volendam,Attacking Midfielder Right,False,33,18,1537.7,1.0535,0.2341,0.0585,0.5556,0.5025,espn_true_per90
eredivisie,177058,Brandley Kuwas,FC Volendam,Substitute,False,32,23,2019.7,1.7825,0.2228,0.1782,0.35,0.66,espn_true_per90
eredivisie,125279,Aaron Meijers,FC Volendam,Substitute,False,12,5,498.6,0.5415,0.0,0.0,0.3333,0.163,espn_true_per90
eredivisie,365390,Nordin Bukala,FC Volendam,Substitute,False,25,21,1747.6,0.618,0.103,0.0515,0.4167,0.5711,espn_true_per90
eredivisie,408739,Robin Van Cruijsen,FC Volendam,Substitute,False,24,16,1351.9,1.0651,0.2663,0.1997,0.5625,0.4418,espn_true_per90
eredivisie,277313,Matej Kovár,PSV Eindhoven,Goalkeeper,True,31,31,2790.0,0.0,0.0,0.0,,0.9118,espn_true_per90
eredivisie,364814,Yarek Gasiorowski,PSV Eindhoven,Center Left Defender,False,28,25,2144.4,0.5456,0.1259,0.0839,0.6154,0.7008,espn_true_per90
eredivisie,304478,Ryan Flamingo,PSV Eindhoven,Center Right Defender,False,33,15,1664.6,0.9732,0.1622,0.0541,0.3333,0.544,espn_true_per90
eredivisie,259136,Mauro Júnior,PSV Eindhoven,Left Back,False,26,24,2083.7,0.9503,0.0432,0.3887,0.3636,0.6809,espn_true_per90
eredivisie,266291,Sergiño Dest,PSV Eindhoven,Right Back,False,27,26,2202.4,0.5721,0.0409,0.2043,0.3571,0.7197,espn_true_per90
eredivisie,239998,Jerdy Schouten,PSV Eindhoven,Center Midfielder,False,28,28,2377.3,0.7193,0.0379,0.0757,0.3158,0.7769,espn_true_per90
eredivisie,240912,Joey Veerman,PSV Eindhoven,Left Midfielder,False,30,27,2367.7,1.2924,0.3041,0.5322,0.4118,0.7738,espn_true_per90
eredivisie,304572,Ismael Saibari,PSV Eindhoven,Right Midfielder,False,27,26,2140.8,3.8256,0.6306,0.3363,0.4066,0.6996,espn_true_per90
eredivisie,340252,Ruben Van Bommel,PSV Eindhoven,Left Forward,False,6,6,379.0,1.8997,0.7124,0.0,0.75,0.1239,espn_true_per90
eredivisie,103485,Ivan Perisic,PSV Eindhoven,Right Forward,False,30,27,2212.1,2.197,0.2848,0.4882,0.3519,0.7229,espn_true_per90
eredivisie,355957,Tygo Land,FC Groningen,Substitute,False,30,17,1604.7,0.673,0.1683,0.0561,0.4167,0.5094,espn_true_per90
