league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
epl,2024,understat_9154,Elliot Anderson,Nottingham Forest,M S,2773.0,37,1.2982,0.0724,0.1339,0.0649,0.1947,1.2009,0.8327,False,understat
epl,2024,understat_9406,Nathan Broadhead,Ipswich,M S,677.0,18,1.7282,0.243,0.1115,0.2659,0.0,0.9306,0.4179,False,understat
epl,2024,understat_9415,Jaden Philogene-Bidace,"Aston Villa,Ipswich",D M S,786.0,21,2.1756,0.3201,0.0382,0.229,0.0,0.687,0.4159,False,understat
epl,2024,understat_9501,Fabio Carvalho,Brentford,F M S,399.0,19,2.7068,0.5292,0.1524,0.4511,0.2256,0.9023,0.2333,False,understat
epl,2024,understat_9678,Ethan Pinnock,Brentford,D S,1912.0,22,0.4707,0.0441,0.0711,0.0941,0.0,0.3766,0.9657,False,understat
epl,2024,understat_9733,Nathan Collins,Brentford,D,3420.0,38,0.4474,0.0699,0.0519,0.0526,0.0789,0.2368,1.0,False,understat
epl,2024,understat_9780,Mathys Tel,Tottenham,F S,920.0,13,2.25,0.2739,0.2453,0.1957,0.0978,1.3696,0.7863,False,understat
epl,2024,understat_9912,Cameron Archer,Southampton,F S,1409.0,35,1.8524,0.4425,0.0302,0.1278,0.0,0.3833,0.4473,False,understat
epl,2024,understat_10586,Tyler Dibling,Southampton,F M S,1860.0,33,1.3548,0.1496,0.0958,0.0968,0.0,0.9677,0.6263,False,understat
epl,2024,understat_10744,Ryan Christie,Bournemouth,M S,2150.0,29,1.3814,0.0681,0.1599,0.0837,0.1256,1.7581,0.8238,False,understat
epl,2024,understat_10802,Lisandro Martínez,Manchester United,D,1762.0,20,0.8683,0.0862,0.0693,0.1022,0.0511,0.4597,0.9789,False,understat
epl,2024,understat_10805,Levi Colwill,Chelsea,D,3150.0,35,0.4857,0.071,0.0305,0.0571,0.0286,0.3429,1.0,False,understat
epl,2024,understat_11003,Ryan Yates,Nottingham Forest,M S,1883.0,35,1.5773,0.1369,0.0518,0.0956,0.0478,0.9081,0.5978,False,understat
