player_name,market,selection,line,price,snapshot_ts
ketel marte,batter_hits_runs_rbis,over,0.5,103,2026-07-12T01:58:17Z
ketel marte,batter_hits_runs_rbis,over,0.5,+145,2026-07-12T02:47:20Z
ketel marte,batter_hits_runs_rbis,under,0.5,-137,2026-07-12T01:58:17Z
ketel marte,batter_hits_runs_rbis,under,0.5,-195,2026-07-12T02:47:20Z
ketel marte,batter_home_runs,over,0.5,700,2026-07-12T01:58:17Z
ketel marte,batter_home_runs,over,0.5,+1100,2026-07-12T02:47:20Z
ketel marte,batter_rbis,over,0.5,390,2026-07-12T01:58:17Z
ketel marte,batter_rbis,over,0.5,+600,2026-07-12T02:47:20Z
ketel marte,batter_rbis,under,0.5,-600,2026-07-12T01:58:17Z
ketel marte,batter_rbis,under,0.5,-1100,2026-07-12T02:47:20Z
ketel marte,batter_runs_scored,over,0.5,280,2026-07-12T01:58:17Z
ketel marte,batter_runs_scored,over,0.5,+340,2026-07-12T02:47:20Z
ketel marte,batter_runs_scored,under,0.5,-425,2026-07-12T01:58:17Z
ketel marte,batter_runs_scored,under,0.5,-525,2026-07-12T02:47:20Z
ketel marte,batter_total_bases,over,0.5,124,2026-07-12T01:58:17Z
ketel marte,batter_total_bases,under,0.5,-170,2026-07-12T01:58:17Z
kyle tucker,batter_hits,over,0.5,-105,2026-07-12T01:58:17Z
kyle tucker,batter_hits,over,0.5,+155,2026-07-12T02:47:20Z
kyle tucker,batter_hits,under,0.5,-135,2026-07-12T01:58:17Z
kyle tucker,batter_hits,under,0.5,-215,2026-07-12T02:47:20Z
kyle tucker,batter_hits_runs_rbis,over,0.5,-145,2026-07-12T01:58:17Z
kyle tucker,batter_hits_runs_rbis,over,0.5,+130,2026-07-12T02:47:20Z
kyle tucker,batter_hits_runs_rbis,under,0.5,110,2026-07-12T01:58:17Z
kyle tucker,batter_hits_runs_rbis,under,0.5,-176,2026-07-12T02:47:20Z
kyle tucker,batter_home_runs,over,0.5,700,2026-07-12T01:58:17Z
kyle tucker,batter_home_runs,over,0.5,+1100,2026-07-12T02:47:20Z
kyle tucker,batter_rbis,over,0.5,260,2026-07-12T01:58:17Z
kyle tucker,batter_rbis,over,0.5,+450,2026-07-12T02:47:20Z
kyle tucker,batter_rbis,under,0.5,-400,2026-07-12T01:58:17Z
kyle tucker,batter_rbis,under,0.5,-800,2026-07-12T02:47:20Z
kyle tucker,batter_runs_scored,over,0.5,205,2026-07-12T01:58:17Z
kyle tucker,batter_runs_scored,over,0.5,+320,2026-07-12T02:47:20Z
kyle tucker,batter_runs_scored,under,0.5,-295,2026-07-12T01:58:17Z
kyle tucker,batter_runs_scored,under,0.5,-500,2026-07-12T02:47:20Z
kyle tucker,batter_total_bases,over,0.5,-105,2026-07-12T01:58:17Z
